threshold,precision,recall,f1
0.79,0.9809523809523809,0.515,0.6754098360655738
0.7933333333333333,0.9805825242718447,0.505,0.6666666666666667
0.7966666666666666,0.9797979797979798,0.485,0.6488294314381271
0.8,0.9795918367346939,0.48,0.6442953020134228
0.8033333333333333,0.979381443298969,0.475,0.6397306397306397
0.8066666666666666,0.9894736842105263,0.47,0.6372881355932203
0.81,0.989010989010989,0.45,0.6185567010309279
0.8133333333333334,0.9888888888888889,0.445,0.6137931034482759
0.8166666666666667,0.9880952380952381,0.415,0.5845070422535211
0.82,0.9873417721518988,0.39,0.5591397849462366
0.8233333333333334,0.9871794871794872,0.385,0.5539568345323741
0.83,1.0,0.38,0.5507246376811594
0.84,1.0,0.37,0.5401459854014599
0.8433333333333334,1.0,0.365,0.5347985347985348
0.8466666666666667,1.0,0.36,0.5294117647058824
0.8533333333333334,1.0,0.35,0.5185185185185185
0.8566666666666667,1.0,0.34,0.5074626865671642
0.86,1.0,0.335,0.50187265917603
0.8666666666666667,1.0,0.33,0.49624060150375937
0.87,1.0,0.325,0.4905660377358491
0.8766666666666667,1.0,0.31,0.47328244274809156
0.88,1.0,0.305,0.4674329501915709
0.8833333333333333,1.0,0.3,0.4615384615384615
0.8866666666666667,1.0,0.285,0.44357976653696496
0.89,1.0,0.28,0.43750000000000006
0.8933333333333333,1.0,0.275,0.4313725490196079
0.8966666666666666,1.0,0.26,0.41269841269841273
0.9,1.0,0.25,0.4
0.9066666666666666,1.0,0.245,0.393574297188755
0.91,1.0,0.235,0.38056680161943324
0.9133333333333333,1.0,0.225,0.36734693877551017
0.9166666666666666,1.0,0.22,0.36065573770491804
0.92,1.0,0.215,0.35390946502057613
0.9233333333333333,1.0,0.19,0.319327731092437
0.9266666666666666,1.0,0.18,0.3050847457627119
0.93,1.0,0.17,0.2905982905982906
0.9333333333333333,1.0,0.145,0.25327510917030566
0.9366666666666666,1.0,0.14,0.24561403508771928
0.94,1.0,0.13,0.23008849557522126
0.9433333333333334,1.0,0.125,0.2222222222222222
0.95,1.0,0.105,0.19004524886877827
0.9566666666666667,1.0,0.09,0.16513761467889906
0.96,1.0,0.085,0.1566820276497696
0.9633333333333334,1.0,0.08,0.14814814814814814
0.9666666666666667,1.0,0.065,0.12206572769953053
0.97,1.0,0.06,0.11320754716981131
0.9733333333333334,1.0,0.055,0.1042654028436019
0.9766666666666667,1.0,0.045,0.0861244019138756
0.98,1.0,0.04,0.07692307692307693
0.9866666666666667,1.0,0.03,0.058252427184466014
0.99,1.0,0.02,0.0392156862745098
1.0,1.0,0.0,0.0
